Pos,Name,Value
1,China,1505000000
2,United States,1053000000
3,Japan,287300000
4,Russia,239700000
5,India,223300000
6,Germany,178400000
7,Canada,138600000
8,France,130400000
9,Italy,124200000
10,Brazil,119100000
11,Spain,102300000
12,"Korea, South",86970000
13,United Kingdom,76440000
14,Iran,65310000
15,Australia,61940000
16,Mexico,61510000
17,Ukraine,54890000
18,Turkey,53860000
19,Saudi Arabia,51150000
20,Taiwan,48480000
21,South Africa,44150000
22,Indonesia,41010000
23,Sweden,37940000
24,Poland,34320000
25,Argentina,32880000
26,Thailand,32600000
27,Norway,31760000
28,Netherlands,29920000
29,Malaysia,28400000
30,Venezuela,27500000
31,Egypt,27000000
32,Vietnam,26300000
33,United Arab Emirates,26140000
34,Romania,24000000
35,Pakistan,23660000
36,Austria,22360000
37,Greece,22300000
38,Belgium,20790000
39,Czech Republic,20520000
40,Switzerland,20040000
41,Portugal,19620000
42,Kazakhstan,18750000
43,Chile,17950000
44,Philippines,17030000
45,Finland,16730000
46,Israel,16250000
47,Algeria,15200000
48,Colombia,14470000
49,Denmark,13510000
50,Kuwait,13500000
51,Bulgaria,12900000
52,Uzbekistan,12350000
53,Iraq,11200000
54,Hong Kong,10670000
55,Singapore,10490000
56,Bangladesh,10260000
57,New Zealand,9722000
58,Hungary,9531000
59,Paraguay,8816000
60,Ireland,8572000
61,Peru,8557000
62,Syria,8323000
63,Slovakia,8074000
64,Belarus,8032000
65,Qatar,7830000
66,Serbia,7368000
67,"Korea, North",7243000
68,Libya,7066000
69,Morocco,6413000
70,Azerbaijan,6398000
71,Cuba,6055000
72,Nigeria,5900000
73,Puerto Rico,5571000
74,Ecuador,5336000
75,Oman,4861000
76,Tajikistan,4476000
77,Georgia,4350000
78,Bosnia and Herzegovina,4300000
79,Turkmenistan,4275000
80,Croatia,4206000
81,Tunisia,4076000
82,Armenia,4021000
83,Kyrgyzstan,3766000
84,Lithuania,3639000
85,Burma,3590000
86,Dominican Republic,3364000
87,Slovenia,3351000
88,Laos,3217000
89,Jordan,3193000
90,Bahrain,3169000
91,Sri Lanka,3147000
92,Costa Rica,2944000
93,Ghana,2847000
94,Estonia,2825000
95,Guatemala,2813000
96,Uruguay,2707000
97,Iceland,2669000
98,"Congo, Democratic Republic of the",2506000
99,Mozambique,2429000
100,Panama,2391000
101,Lebanon,2313000
102,Latvia,2226000
103,Ethiopia,2127000
104,Trinidad and Tobago,2104000
105,Sudan,2083000
106,Macedonia,2011000
107,Zimbabwe,1966000
108,Albania,1878000
109,Zambia,1819000
110,Kenya,1816000
111,Honduras,1815000
112,Luxembourg,1740000
113,Angola,1657000
114,Yemen,1533000
115,Kosovo,1526000
116,Cote d'Ivoire,1522000
117,El Salvador,1507000
118,Bhutan,1499000
119,Bolivia,1365000
120,Nicaragua,1275000
121,Cyprus,1110000
122,Namibia,1087000
123,Cameroon,1007000
124,Cambodia,949000
125,Jamaica,922700
126,Montenegro,885500
127,Tanzania,845000
128,Mongolia,833200
129,Mauritius,778200
130,Brunei,759000
131,Nepal,746000
132,Uganda,711400
133,Papua New Guinea,700000
134,Rwanda,684000
135,Malta,653200
136,Senegal,623000
137,"Congo, Republic of the",559000
138,Guam,552000
139,Andorra,520000
140,Madagascar,512200
141,New Caledonia,499000
142,"Bahamas, The",493000
143,Afghanistan,489100
144,Macau,472000
145,Moldova,439900
146,Gabon,415000
147,Suriname,412000
148,Guinea,398000
149,Guyana,363500
150,Virgin Islands,323000
151,Aruba,320000
152,Mali,304000
153,Malawi,301000
154,Mauritania,293000
155,South Sudan,255200
156,Fiji,245100
157,Barbados,239000
158,Burkina Faso,238000
159,French Polynesia,224000
160,Liberia,197000
161,Belize,186600
162,Benin,171000
163,Bermuda,167400
164,Cayman Islands,151200
165,Swaziland,149000
166,Eritrea,140800
167,West Bank,140000
168,Niger,134000
169,Botswana,132000
170,Haiti,130000
171,Djibouti,130000
172,Cabo Verde,121300
173,Greenland,106000
174,Faroe Islands,100100
175,Dominica,98000
176,Seychelles,89000
177,Togo,83000
178,Sierra Leone,81000
179,Lesotho,80000
180,Somalia,80000
181,Maldives,77080
182,Saint Lucia,76000
183,"Gambia, The",62000
184,Western Sahara,58000
185,Antigua and Barbuda,55000
186,Burundi,52000
187,Grenada,50700
188,Turks and Caicos Islands,48000
189,Saint Vincent and the Grenadines,47000
190,Saint Kitts and Nevis,46200
191,American Samoa,45000
192,Central African Republic,44000
193,British Virgin Islands,44000
194,Gibraltar,43000
195,Samoa,42100
196,Equatorial Guinea,41000
197,Solomon Islands,36000
198,Chad,31000
199,Vanuatu,28000
200,Saint Pierre and Miquelon,26600
201,Guinea-Bissau,26000
202,Comoros,22000
203,"Micronesia, Federated States of",18000
204,Sao Tome and Principe,16000
205,Tonga,15300
206,Montserrat,10000
207,Falkland Islands (Islas Malvinas),10000
208,Cook Islands,8090
209,Nauru,6040
210,Tuvalu,5100
211,Kiribati,5000
212,"Saint Helena, Ascension, and Tristan da Cunha",5000
213,Niue,1000
