Pos,Name,Value
1,United States,$18670000000000
2,European Union,$10400000000000
3,China,$6499000000000
4,Japan,$4964000000000
5,Hong Kong,$3082000000000
6,United Kingdom,$3019000000000
7,Canada,$2016000000000
8,France,$1762000000000
9,Germany,$1486000000000
10,Australia,$1286000000000
11,"Korea, South",$1264000000000
12,India,$1263000000000
13,Brazil,$1230000000000
14,Switzerland,$1079000000000
15,South Africa,$1038000000000
16,Spain,$995100000000
17,Russia,$874700000000
18,Taiwan,$831900000000
19,Singapore,$718800000000
20,Netherlands,$675000000000
21,Sweden,$560500000000
22,Mexico,$525100000000
23,Italy,$480500000000
24,Malaysia,$476300000000
25,Indonesia,$396800000000
26,Saudi Arabia,$373400000000
27,Thailand,$348500000000
28,Chile,$313300000000
29,Turkey,$308800000000
30,Belgium,$300100000000
31,Philippines,$266300000000
32,Colombia,$262100000000
33,Norway,$252900000000
34,Denmark,$224900000000
35,Poland,$177700000000
36,Iran,$172000000000
37,Finland,$158700000000
38,Peru,$153400000000
39,Israel,$148400000000
40,Qatar,$126400000000
41,Ireland,$109000000000
42,Austria,$106000000000
43,Kuwait,$99770000000
44,Macau,$85500000000
45,New Zealand,$79800000000
46,Egypt,$73040000000
47,Luxembourg,$70340000000
48,United Arab Emirates,$67950000000
49,Portugal,$65530000000
50,Nigeria,$56390000000
51,Czech Republic,$54920000000
52,Morocco,$52630000000
53,Greece,$44580000000
54,Pakistan,$43680000000
55,Romania,$43670000000
56,Bangladesh,$41730000000
57,Vietnam,$38200000000
58,Argentina,$34240000000
59,Jordan,$27000000000
60,Venezuela,$25300000000
61,Kazakhstan,$23500000000
62,Hungary,$22900000000
63,Bahrain,$22100000000
64,Croatia,$21630000000
65,Ukraine,$20710000000
66,Oman,$20190000000
67,Sri Lanka,$18480000000
68,Trinidad and Tobago,$15170000000
69,Kenya,$14790000000
70,Panama,$12540000000
71,Zimbabwe,$11820000000
72,Lebanon,$11220000000
73,El Salvador,$10740000000
74,Papua New Guinea,$10710000000
75,Bolivia,$9684000000
76,Nepal,$9671000000
77,Serbia,$9199000000
78,Tunisia,$8887000000
79,Cote d'Ivoire,$7829000000
80,Uganda,$7294000000
81,Mauritius,$7093000000
82,Slovenia,$6870000000
83,Bulgaria,$6666000000
84,Jamaica,$6390000000
85,Ecuador,$5911000000
86,Slovakia,$4611000000
87,Botswana,$4588000000
88,Barbados,$4495000000
89,Iraq,$4000000000
90,Lithuania,$3964000000
91,Montenegro,$3827000000
92,Malta,$3631000000
93,Ghana,$3465000000
94,Zambia,$3004000000
95,Iceland,$2825000000
96,"Bahamas, The",$2780000000
97,West Bank,$2634000000
98,Estonia,$2332000000
99,Macedonia,$2214000000
100,Costa Rica,$2015000000
101,Cyprus,$1996000000
102,Tanzania,$1803000000
103,Bermuda,$1487000000
104,Namibia,$1305000000
105,Mongolia,$1293000000
106,Latvia,$1115000000
107,Laos,$1012000000
108,Paraguay,$962300000
109,Georgia,$943400000
110,Malawi,$753600000
111,Guyana,$610900000
112,Saint Kitts and Nevis,$598400000
113,Maldives,$555000000
114,Fiji,$452500000
115,Bhutan,$320000000
116,Cameroon,$230000000
117,Uruguay,$175400000
118,Kyrgyzstan,$165000000
119,Armenia,$132100000
120,Moldova,$65280000
