Pos,Name,Value
1,China,$2252000000000
2,European Union,$2173000000000
3,United States,$1610000000000
4,Germany,$1547000000000
5,Japan,$710500000000
6,"Korea, South",$628000000000
7,France,$578300000000
8,Netherlands,$552800000000
9,Hong Kong,$528200000000
10,Russia,$520300000000
11,United Kingdom,$503400000000
12,Italy,$500300000000
13,Canada,$465100000000
14,Singapore,$449100000000
15,Mexico,$406400000000
16,United Arab Emirates,$404700000000
17,Switzerland,$388900000000
18,Saudi Arabia,$359400000000
19,India,$342500000000
20,Belgium,$323400000000
21,Taiwan,$318000000000
22,Spain,$317300000000
23,Australia,$250800000000
24,Brazil,$242700000000
25,Thailand,$232000000000
26,Malaysia,$231300000000
27,Poland,$218900000000
28,Sweden,$184100000000
29,Indonesia,$179400000000
30,Turkey,$176600000000
31,Austria,$164400000000
32,Norway,$150200000000
33,Czech Republic,$147300000000
34,Vietnam,$147000000000
35,Ireland,$121300000000
36,Qatar,$121200000000
37,Kuwait,$109900000000
38,Denmark,$108800000000
39,Hungary,$99540000000
40,South Africa,$97900000000
41,Iran,$95710000000
42,Iraq,$94430000000
43,Nigeria,$93010000000
44,Kazakhstan,$87250000000
45,Slovakia,$86550000000
46,Venezuela,$83200000000
47,Finland,$78000000000
48,Chile,$76980000000
49,Argentina,$76470000000
50,Angola,$69460000000
51,Puerto Rico,$68340000000
52,Portugal,$66300000000
53,Israel,$63210000000
54,Romania,$63120000000
55,Algeria,$62100000000
56,Oman,$58740000000
57,Colombia,$55000000000
58,Philippines,$53360000000
59,Ukraine,$52460000000
60,New Zealand,$40210000000
61,Belarus,$37890000000
62,Greece,$36600000000
63,Peru,$36430000000
64,Lithuania,$31640000000
65,Bangladesh,$31200000000
66,Azerbaijan,$30890000000
67,Slovenia,$30470000000
68,Bulgaria,$29250000000
69,Ecuador,$27330000000
70,Egypt,$27150000000
71,Pakistan,$25110000000
72,Bahrain,$22000000000
73,Turkmenistan,$21780000000
74,Morocco,$19560000000
75,Luxembourg,$18900000000
76,Panama,$18070000000
77,Libya,$17490000000
78,Tunisia,$16610000000
79,Estonia,$15820000000
80,Serbia,$15000000000
81,Paraguay,$14610000000
82,Cote d'Ivoire,$14580000000
83,Croatia,$14080000000
84,Ghana,$13530000000
85,Latvia,$13380000000
86,Uzbekistan,$13320000000
87,Equatorial Guinea,$13260000000
88,Trinidad and Tobago,$12610000000
89,Bolivia,$12340000000
90,Sri Lanka,$11880000000
91,Costa Rica,$11750000000
92,Brunei,$11380000000
93,Uruguay,$11000000000
94,Guatemala,$10600000000
95,Burma,$10310000000
96,Dominican Republic,$10110000000
97,"Congo, Democratic Republic of the",$10090000000
98,Zambia,$9214000000
