Pos,Name,Value
1,South Africa,6836500
2,Nigeria,3228600
3,India,2079700
4,Zimbabwe,1550300
5,Mozambique,1543000
6,Tanzania,1499400
7,Uganda,1486600
8,Kenya,1366900
9,Zambia,1150400
10,Malawi,1063900
11,China,780000
12,Ethiopia,730300
13,Brazil,726000
14,Indonesia,660300
15,Cameroon,657500
16,Cote d'Ivoire,460100
17,"Congo, Democratic Republic of the",446600
18,Thailand,445600
19,Botswana,392400
20,Lesotho,314600
21,Angola,304400
22,Vietnam,250200
23,Ghana,250200
24,Namibia,245400
25,Chad,215000
26,Swaziland,214300
27,Burma,212600
28,Ukraine,210700
29,Rwanda,210500
30,Mexico,194100
31,South Sudan,193400
32,Spain,150400
33,Haiti,141300
34,Central African Republic,135400
35,Mali,133400
36,United Kingdom,126700
37,Argentina,126600
38,Colombia,124400
39,Italy,122000
40,Guinea,118000
41,Togo,113700
42,Burkina Faso,107700
43,Venezuela,106900
44,Malaysia,100800
45,Burundi,84700
46,"Congo, Republic of the",80700
47,Benin,77900
48,Germany,77500
49,Cambodia,74600
50,Iran,74400
51,Peru,71900
52,Dominican Republic,69300
53,Pakistan,68000
54,Sierra Leone,54000
55,Sudan,53200
56,Guatemala,49100
57,Gabon,47500
58,Senegal,44000
59,Guinea-Bissau,42000
60,Niger,40500
61,Chile,39300
62,Madagascar,39100
63,Nepal,38800
64,Philippines,35600
65,Somalia,34900
66,Liberia,33100
67,Ecuador,32700
68,Uzbekistan,32300
69,Papua New Guinea,31900
70,Equatorial Guinea,31600
71,Jamaica,29400
72,Belarus,29400
73,Morocco,28700
74,Australia,28200
75,Honduras,23000
76,El Salvador,20900
77,"Gambia, The",20300
78,Kazakhstan,20300
79,Switzerland,20200
80,Bolivia,17900
81,Moldova,17600
82,Cuba,17100
83,Paraguay,16800
84,Tajikistan,16400
85,Romania,16200
86,Eritrea,16100
87,Mauritania,15900
88,Panama,15500
89,Uruguay,14400
90,Trinidad and Tobago,14000
91,Laos,11100
92,Algeria,10500
93,Djibouti,9900
94,Guyana,9700
95,Kyrgyzstan,9300
96,Bangladesh,8900
97,Costa Rica,8800
98,Egypt,8800
99,Estonia,8600
100,Azerbaijan,8400
101,Mauritius,8300
102,Ireland,8000
103,"Bahamas, The",7700
104,Yemen,7200
105,Afghanistan,6700
106,Georgia,6600
107,Nicaragua,6600
108,Denmark,6000
109,Armenia,4000
110,Suriname,3800
111,Czech Republic,3400
112,Cabo Verde,3400
113,Sri Lanka,3300
114,Belize,3300
115,Serbia,3000
116,Tunisia,2700
117,Lebanon,1800
118,Barbados,1500
119,Sao Tome and Principe,1000
120,Slovenia,900
121,Syria,900
122,Fiji,700
123,Bhutan,600
124,Mongolia,600
125,Cyprus,400
126,Macedonia,200
127,Maldives,100
