Pos,Name,Value
1,South Sudan,2054
2,Chad,1100
3,Somalia,1000
4,Central African Republic,890
5,Sierra Leone,890
6,Burundi,800
7,Guinea-Bissau,790
8,Liberia,770
9,Sudan,730
10,Cameroon,690
11,Nigeria,630
12,Lesotho,620
13,Guinea,610
14,Niger,590
15,Zimbabwe,570
16,"Congo, Republic of the",560
17,"Congo, Democratic Republic of the",540
18,Mali,540
19,Mauritania,510
20,Mozambique,490
21,Laos,470
22,Afghanistan,460
23,Tanzania,460
24,Malawi,460
25,Angola,450
26,Zambia,440
27,Cote d'Ivoire,400
28,Senegal,370
29,"Gambia, The",360
30,Kenya,360
31,Haiti,350
32,Ghana,350
33,Ethiopia,350
34,Benin,350
35,Rwanda,340
36,Swaziland,320
37,Uganda,310
38,South Africa,300
39,Burkina Faso,300
40,Togo,300
41,Timor-Leste,300
42,Comoros,280
43,Guyana,280
44,Pakistan,260
45,Cambodia,250
46,Eritrea,240
47,Equatorial Guinea,240
48,Madagascar,240
49,Bangladesh,240
50,Gabon,230
51,Papua New Guinea,230
52,Indonesia,220
53,Namibia,200
54,Burma,200
55,India,200
56,Djibouti,200
57,Yemen,200
58,Bolivia,190
59,Bhutan,180
60,Nepal,170
61,Botswana,160
62,Dominican Republic,150
63,Suriname,130
64,Guatemala,120
65,Jamaica,110
66,Tonga,110
67,Ecuador,110
68,Vanuatu,110
69,Honduras,100
70,Morocco,100
71,"Micronesia, Federated States of",100
72,Samoa,100
73,Paraguay,99
74,Philippines,99
75,Algeria,97
76,Nicaragua,95
77,Solomon Islands,93
78,Panama,92
79,Venezuela,92
80,Colombia,92
81,El Salvador,81
82,"Korea, North",81
83,Cabo Verde,79
84,Argentina,77
85,Cuba,73
86,Kyrgyzstan,71
87,Syria,70
88,Sao Tome and Principe,70
89,Turkmenistan,67
90,Peru,67
91,Georgia,67
92,Egypt,66
93,Tajikistan,65
94,Gaza Strip,64
95,West Bank,64
96,Mongolia,63
97,Jordan,63
98,Iraq,63
99,Mauritius,60
100,Maldives,60
101,Vietnam,59
102,Libya,58
103,Brazil,56
104,Tunisia,56
105,Belize,53
106,Barbados,51
107,Kazakhstan,51
108,Mexico,50
109,Saint Vincent and the Grenadines,48
110,Thailand,48
111,"Bahamas, The",47
112,Trinidad and Tobago,46
113,Azerbaijan,43
114,Moldova,41
115,Costa Rica,40
116,China,37
117,Saint Lucia,35
118,Sri Lanka,35
119,Russia,34
120,Latvia,34
121,Ukraine,32
122,Oman,32
123,Armenia,30
124,Uruguay,29
125,Malaysia,29
126,Uzbekistan,28
127,Romania,27
128,Albania,27
129,Fiji,26
130,Lebanon,25
131,Chile,25
132,Brunei,24
133,Saudi Arabia,24
134,Grenada,24
135,Hungary,21
136,United States,21
137,Iran,21
138,Bahrain,20
139,Turkey,20
140,Puerto Rico,20
141,Luxembourg,20
142,Croatia,17
143,"Korea, South",16
144,New Zealand,15
145,Kuwait,14
146,United Arab Emirates,12
147,Canada,12
148,United Kingdom,12
149,Serbia,12
150,Slovenia,12
151,Denmark,12
152,Bulgaria,11
153,Macedonia,10
154,Cyprus,10
155,Kiribati,9
156,Belgium,8
157,Bosnia and Herzegovina,8
158,France,8
159,Switzerland,8
160,Montenegro,8
161,Malta,8
162,Portugal,8
163,Lithuania,8
164,Australia,7
165,Germany,7
166,Qatar,7
167,Norway,7
168,Israel,7
169,Ireland,6
170,Spain,6
171,Netherlands,6
172,Slovakia,6
173,Czech Republic,5
174,Finland,5
175,Poland,5
176,Japan,5
177,Iceland,5
178,Austria,4
179,Sweden,4
180,Italy,4
181,Belarus,4
182,Singapore,3
183,Greece,3
184,Estonia,2
