Pos,Name,Value
1,United States,224792
2,Russia,87157
3,China,86000
4,India,64600
5,Canada,46552
6,Germany,41981
7,Australia,38445
8,Argentina,36966
9,France,29640
10,Brazil,28538
11,Japan,27182
12,Ukraine,21619
13,Italy,20255
14,South Africa,20192
15,Poland,19428
16,Mexico,17166
17,United Kingdom,16454
18,Kazakhstan,15333
19,Spain,15293
20,Turkey,12008
21,Sweden,11633
22,Romania,10777
23,Czech Republic,9469
24,Iran,8442
25,Cuba,8203
26,Hungary,8057
27,Pakistan,7791
28,Chile,7082
29,Austria,6399
30,Sudan,5978
31,Finland,5944
32,Belarus,5537
33,"Korea, North",5242
34,Egypt,5083
35,Indonesia,5042
36,Burma,5031
37,Switzerland,4876
38,Mozambique,4787
39,Norway,4237
40,Uzbekistan,4230
41,Bulgaria,4152
42,New Zealand,4128
43,Thailand,4071
44,"Congo, Democratic Republic of the",4007
45,Algeria,3973
46,Serbia,3809
47,Tanzania,3689
48,Bolivia,3652
49,Slovakia,3622
50,Nigeria,3505
51,Zimbabwe,3427
52,"Korea, South",3381
53,Portugal,3319
54,Ireland,3237
55,Belgium,3233
56,Netherlands,3013
57,Turkmenistan,2980
58,Zambia,2922
59,Azerbaijan,2918
60,Bangladesh,2835
61,Angola,2764
62,Croatia,2722
63,Denmark,2667
64,Vietnam,2632
65,Namibia,2626
66,Greece,2548
67,Iraq,2370
68,Latvia,2239
69,Tunisia,2165
70,Morocco,2067
71,Kenya,2066
72,Syria,2052
73,Mongolia,1908
74,Peru,1907
75,Malaysia,1849
76,Lithuania,1767
77,Uruguay,1641
78,Georgia,1612
79,Taiwan,1580
80,Sri Lanka,1449
81,Saudi Arabia,1378
82,Cameroon,1245
83,Uganda,1244
84,Slovenia,1228
85,Estonia,1196
86,Moldova,1190
87,Guinea,1185
88,Philippines,995
89,Israel,975
90,Ecuador,965
91,Ghana,947
92,Senegal,906
93,Botswana,888
94,"Congo, Republic of the",886
95,Colombia,874
96,Armenia,869
97,Madagascar,854
98,Venezuela,806
99,Malawi,797
100,Mauritania,728
101,Macedonia,699
102,Cambodia,690
103,Ethiopia,681
104,Tajikistan,680
105,Cote d'Ivoire,660
106,Gabon,649
107,Burkina Faso,622
108,Bosnia and Herzegovina,601
109,Fiji,597
110,Mali,593
111,Togo,568
112,Jordan,507
113,Kyrgyzstan,470
114,Benin,438
115,Kosovo,430
116,Liberia,429
117,Lebanon,401
118,Albania,339
119,Guatemala,332
120,Eritrea,306
121,Swaziland,301
122,El Salvador,283
123,Costa Rica,278
124,Luxembourg,275
125,Montenegro,250
126,South Sudan,248
127,Dominican Republic,142
128,Djibouti,100
129,Panama,76
130,Isle of Man,63
131,Nepal,59
132,Saint Kitts and Nevis,50
133,Honduras,44
134,Paraguay,36
135,Christmas Island,18
136,Liechtenstein,9
