Pos,Name,Value
1,South Sudan,4.02
2,Malawi,3.31
3,Burundi,3.27
4,Niger,3.25
5,Uganda,3.24
6,Qatar,3.07
7,Burkina Faso,3.03
8,Mali,2.98
9,Iraq,2.93
10,Ethiopia,2.89
11,Zambia,2.88
12,Western Sahara,2.82
13,Gaza Strip,2.81
14,Tanzania,2.79
15,Benin,2.78
16,Angola,2.77
17,Togo,2.69
18,Guinea,2.63
19,Cameroon,2.59
20,United Arab Emirates,2.58
21,Madagascar,2.58
22,Rwanda,2.56
23,Equatorial Guinea,2.51
24,Liberia,2.47
25,Yemen,2.47
26,"Congo, Democratic Republic of the",2.45
27,Nigeria,2.45
28,Mozambique,2.45
29,Senegal,2.45
30,Timor-Leste,2.42
31,Bahrain,2.41
32,Sierra Leone,2.35
33,British Virgin Islands,2.32
34,Afghanistan,2.32
35,Turks and Caicos Islands,2.30
36,Eritrea,2.25
37,Mauritania,2.23
38,Libya,2.23
39,Zimbabwe,2.21
40,Djibouti,2.20
41,Ghana,2.18
42,Northern Mariana Islands,2.18
43,"Gambia, The",2.16
44,Luxembourg,2.13
45,Central African Republic,2.13
46,Cayman Islands,2.10
47,Oman,2.06
48,Anguilla,2.03
49,Solomon Islands,2.02
50,"Congo, Republic of the",2.00
51,West Bank,1.95
52,Vanuatu,1.95
53,Gabon,1.93
54,Kenya,1.93
55,Cote d'Ivoire,1.91
56,Guinea-Bissau,1.91
57,Singapore,1.89
58,Chad,1.89
59,Belize,1.87
60,Algeria,1.84
61,Sao Tome and Principe,1.84
62,Somalia,1.83
63,Guatemala,1.81
64,Nepal,1.79
65,Egypt,1.79
66,Papua New Guinea,1.78
67,Comoros,1.77
68,Sudan,1.72
69,Tajikistan,1.71
70,Honduras,1.68
71,Marshall Islands,1.66
72,Brunei,1.62
73,Kuwait,1.62
74,Philippines,1.61
75,Bangladesh,1.60
76,Cambodia,1.58
77,Bolivia,1.56
78,Israel,1.56
79,Laos,1.55
80,Sint Maarten,1.51
81,Saudi Arabia,1.46
82,Pakistan,1.46
83,Malaysia,1.44
84,Cyprus,1.43
85,Venezuela,1.39
86,New Caledonia,1.38
87,Cabo Verde,1.36
88,Ecuador,1.35
89,Aruba,1.33
90,South Africa,1.33
91,Panama,1.32
92,Mongolia,1.31
93,Turkey,1.26
94,Ireland,1.25
95,Antigua and Barbuda,1.24
96,Dominican Republic,1.23
97,Costa Rica,1.22
98,India,1.22
99,Botswana,1.21
100,Iceland,1.21
101,Iran,1.20
102,Mexico,1.18
103,Haiti,1.17
104,Paraguay,1.16
105,Kiribati,1.15
106,Turkmenistan,1.14
107,Kazakhstan,1.14
108,Norway,1.13
109,Kyrgyzstan,1.11
110,Christmas Island,1.11
111,Swaziland,1.11
112,Bhutan,1.11
113,Suriname,1.08
114,Australia,1.07
115,Colombia,1.04
116,Burma,1.01
117,Morocco,1.00
118,Nicaragua,1.00
119,Vietnam,0.97
120,Peru,0.97
121,Azerbaijan,0.96
122,French Polynesia,0.94
123,Uzbekistan,0.93
124,Argentina,0.93
125,Indonesia,0.92
126,Tunisia,0.89
127,Spain,0.89
128,Lebanon,0.86
