Pos,Name,Value
1,China,110000
2,Russia,102000
3,Brazil,50000
4,Vietnam,47130
5,United States,41009
6,Colombia,24725
7,Indonesia,21579
8,"Congo, Democratic Republic of the",15000
9,India,14500
10,Burma,12800
11,Papua New Guinea,11000
12,Argentina,11000
13,Bolivia,10000
14,Peru,8808
15,Nigeria,8600
16,Bangladesh,8370
17,Finland,8000
18,Germany,7467
19,Malaysia,7200
20,Venezuela,7100
21,Netherlands,6237
22,Iraq,5279
23,Laos,4600
24,Sudan,4068
25,Kazakhstan,4000
26,Thailand,4000
27,Poland,3997
28,Cambodia,3700
29,Egypt,3500
30,Philippines,3219
31,United Kingdom,3200
32,Paraguay,3100
33,Mexico,2900
34,Central African Republic,2800
35,Belarus,2500
36,Italy,2400
37,Zambia,2250
38,"Korea, North",2250
39,Nicaragua,2220
40,Sweden,2052
41,Belgium,2043
42,Australia,2000
43,Mali,1800
44,Japan,1770
45,Romania,1731
46,Ukraine,1672
47,Hungary,1622
48,Uruguay,1600
49,Gabon,1600
50,"Korea, South",1600
51,Norway,1577
52,Ecuador,1500
53,Guinea,1300
54,Angola,1300
55,Turkmenistan,1300
56,Ghana,1293
57,Switzerland,1292
58,Suriname,1200
59,Turkey,1200
60,Afghanistan,1200
61,"Congo, Republic of the",1120
62,Uzbekistan,1100
63,Spain,1000
64,Senegal,1000
65,Guatemala,990
66,Cote d'Ivoire,980
67,Ireland,956
68,Syria,900
69,Iran,850
70,Belize,825
71,Sierra Leone,800
72,Panama,800
73,Croatia,785
74,Costa Rica,730
75,Malawi,700
76,Czech Republic,664
77,Canada,636
78,Kyrgyzstan,600
79,Madagascar,600
80,Serbia,587
81,Mongolia,580
82,Moldova,558
83,Bulgaria,470
84,Honduras,465
85,Mozambique,460
86,Lithuania,441
87,Denmark,400
88,"Gambia, The",390
89,Austria,358
90,Estonia,335
91,Guyana,330
92,Latvia,300
93,Niger,300
94,Cuba,240
95,Portugal,210
96,Brunei,209
97,Fiji,203
98,Tajikistan,200
99,Slovakia,172
100,Sri Lanka,160
101,Benin,150
102,Togo,50
103,Albania,41
104,Luxembourg,37
105,Liechtenstein,28
106,Greece,6
107,Kiribati,5
