Pos,Name,Value
1,Bosnia and Herzegovina,62.8
2,Kosovo,55.3
3,Greece,55.3
4,Macedonia,53.9
5,Spain,53.2
6,South Africa,51.5
7,Serbia,51.1
8,Guyana,46.1
9,Croatia,43.1
10,Tunisia,42.3
11,Montenegro,41.1
12,Saint Lucia,40.8
13,Armenia,39.2
14,Gaza Strip,38.8
15,West Bank,38.8
16,Portugal,37.6
17,Italy,35.3
18,Lesotho,34.4
19,Namibia,34.3
20,Jamaica,34.0
21,Slovakia,34.0
22,Yemen,33.7
23,Georgia,33.3
24,"Bahamas, The",30.8
25,Guam,29.4
26,Dominican Republic,29.4
27,Jordan,29.3
28,Latvia,28.4
29,Saudi Arabia,28.3
30,Bulgaria,28.1
31,Hungary,28.1
32,Cyprus,27.8
33,Puerto Rico,26.6
34,Poland,26.5
35,Lithuania,26.4
36,Ethiopia,24.9
37,Egypt,24.8
38,Ireland,24.0
39,France,23.8
40,Sweden,23.7
41,Mauritius,23.7
42,Zambia,23.4
43,Aruba,23.2
44,Iran,23.0
45,Romania,22.7
46,Albania,22.5
47,Algeria,22.4
48,Maldives,22.2
49,Indonesia,22.2
50,Colombia,21.9
51,Suriname,21.5
52,United Kingdom,21.0
53,Estonia,20.9
54,Slovenia,20.6
55,Belgium,19.8
56,Belize,19.5
57,Czech Republic,19.5
58,Syria,19.2
59,Luxembourg,18.8
60,Morocco,18.6
61,Uruguay,18.5
62,Costa Rica,18.4
63,Argentina,18.3
64,New Zealand,17.7
65,Finland,17.7
66,Turkey,17.5
67,Ukraine,17.3
68,United States,17.3
69,Sri Lanka,17.3
70,Venezuela,17.1
71,Lebanon,16.8
72,Tajikistan,16.7
73,Chile,16.3
74,Philippines,16.3
75,Samoa,16.1
76,Brazil,15.4
77,Senegal,14.8
78,Russia,14.8
79,Timor-Leste,14.8
80,Kyrgyzstan,14.6
81,Canada,14.3
82,Malta,14.2
83,Azerbaijan,14.2
84,Denmark,14.2
85,Iceland,13.6
86,Cayman Islands,13.5
87,Moldova,13.1
88,Belarus,12.6
89,El Salvador,12.4
90,Israel,12.1
91,United Arab Emirates,12.1
92,Mongolia,11.9
93,Australia,11.7
94,Kuwait,11.3
95,Paraguay,11.2
96,Ecuador,11.1
97,India,10.7
98,Trinidad and Tobago,10.5
99,Panama,10.3
100,Malaysia,10.3
101,Peru,9.5
102,Netherlands,9.5
103,Faroe Islands,9.4
104,Mexico,9.4
105,Bangladesh,9.3
106,Hong Kong,9.3
107,"Korea, South",9.0
108,Austria,8.7
109,Norway,8.6
110,Nicaragua,8.6
111,Switzerland,8.4
112,Germany,8.1
113,Honduras,8.0
114,Japan,7.9
115,Pakistan,7.7
116,Zimbabwe,7.6
117,Guatemala,7.5
118,Isle of Man,7.2
119,Bhutan,7.2
120,Tanzania,7.1
121,Singapore,6.7
122,Bolivia,6.2
123,Macau,5.8
124,Vietnam,5.5
125,Uganda,5.4
126,Liberia,5.1
127,Bahrain,5.0
128,Kazakhstan,3.9
129,Burkina Faso,3.8
130,Cambodia,3.4
131,Cuba,3.1
132,Thailand,2.8
133,Madagascar,2.3
134,Qatar,1.3
