Pos,Name,Value
1,Russia,47800000000000
2,Iran,33800000000000
3,Qatar,25070000000000
4,United States,8734000000000
5,Saudi Arabia,8235000000000
6,Turkmenistan,7504000000000
7,United Arab Emirates,6089000000000
8,Venezuela,5562000000000
9,Nigeria,5118000000000
10,Algeria,4505000000000
11,China,3300000000000
12,Iraq,3158000000000
13,Indonesia,2955000000000
14,Mozambique,2832000000000
15,Kazakhstan,2407000000000
16,Malaysia,2350000000000
17,Egypt,2180000000000
18,Norway,2090000000000
19,Canada,1889000000000
20,Uzbekistan,1841000000000
21,Kuwait,1798000000000
22,Libya,1549000000000
23,India,1427000000000
24,Australia,1219000000000
25,Netherlands,1130000000000
26,Ukraine,1104000000000
27,Azerbaijan,991100000000
28,Oman,849500000000
29,Pakistan,754600000000
30,Vietnam,699400000000
31,Mexico,483500000000
32,Yemen,478500000000
33,Peru,435400000000
34,Brunei,390800000000
35,Brazil,388700000000
36,Argentina,378800000000
37,Trinidad and Tobago,371200000000
38,Israel,285000000000
39,Burma,283200000000
40,Bolivia,281500000000
41,Angola,275000000000
42,Bangladesh,264600000000
43,Thailand,255900000000
44,United Kingdom,244000000000
45,Syria,240700000000
46,Timor-Leste,200000000000
47,Colombia,198400000000
48,Papua New Guinea,155300000000
49,Cameroon,135100000000
50,Germany,116000000000
51,Romania,105500000000
52,Philippines,98540000000
53,Chile,97970000000
54,Bahrain,92030000000
55,Poland,92000000000
56,"Congo, Republic of the",90610000000
57,Cuba,70790000000
58,Tunisia,65130000000
59,South Sudan,63710000000
60,Namibia,62290000000
61,Italy,59430000000
62,Rwanda,56630000000
63,Afghanistan,49550000000
64,Serbia,48140000000
65,Denmark,43010000000
66,Equatorial Guinea,36810000000
67,New Zealand,29420000000
68,Cote d'Ivoire,28320000000
69,Gabon,28320000000
70,Mauritania,28320000000
71,Ethiopia,24920000000
72,Croatia,24920000000
73,Ghana,22650000000
74,Sudan,21240000000
75,Japan,20900000000
76,South Africa,15010000000
77,Uganda,14160000000
78,Slovakia,14160000000
79,Ireland,9911000000
80,Austria,9656000000
81,France,9656000000
82,Georgia,8495000000
83,Hungary,7843000000
84,Turkey,6824000000
85,Tanzania,6513000000
86,Taiwan,6229000000
87,Jordan,6031000000
88,Ecuador,6003000000
89,"Korea, South",5748000000
90,Bulgaria,5663000000
91,Tajikistan,5663000000
92,Somalia,5663000000
93,Kyrgyzstan,5663000000
94,Czech Republic,4276000000
95,Guatemala,2960000000
96,Belarus,2832000000
97,Spain,2548000000
98,Madagascar,2010000000
99,European Union,1573000000
100,Morocco,1444000000
101,Benin,1133000000
102,Greece,991100000
103,"Congo, Democratic Republic of the",991100000
104,Albania,849500000
105,Barbados,141600000
106,Aruba,0
107,Antigua and Barbuda,0
108,Armenia,0
109,American Samoa,0
110,Botswana,0
111,Bermuda,0
112,Belgium,0
113,"Bahamas, The",0
114,Belize,0
115,Bosnia and Herzegovina,0
116,Solomon Islands,0
117,Bhutan,0
118,Burundi,0
119,Cambodia,0
120,Curacao,0
121,Chad,0
122,Sri Lanka,0
123,Cayman Islands,0
124,Comoros,0
125,Costa Rica,0
126,Central African Republic,0
127,Cabo Verde,0
128,Cook Islands,0
129,Cyprus,0
130,Djibouti,0
131,Dominica,0
132,Dominican Republic,0
133,Estonia,0
134,Eritrea,0
135,El Salvador,0
136,Finland,0
137,Fiji,0
138,Falkland Islands (Islas Malvinas),0
139,Faroe Islands,0
140,French Polynesia,0
141,"Gambia, The",0
142,Gibraltar,0
143,Grenada,0
144,Greenland,0
145,Guam,0
146,Guinea,0
147,Guyana,0
148,Haiti,0
149,Hong Kong,0
150,Honduras,0
151,Iceland,0
152,Jamaica,0
153,Kenya,0
154,"Korea, North",0
155,Kiribati,0
156,Laos,0
157,Lebanon,0
158,Latvia,0
159,Lithuania,0
160,Liberia,0
161,Lesotho,0
162,Luxembourg,0
163,Macau,0
164,Moldova,0
165,Mongolia,0
166,Montserrat,0
167,Malawi,0
168,Montenegro,0
169,Macedonia,0
170,Mali,0
171,Mauritius,0
172,Malta,0
173,Maldives,0
174,New Caledonia,0
175,Niue,0
176,Niger,0
177,Vanuatu,0
178,Nepal,0
179,Nauru,0
180,Suriname,0
181,Nicaragua,0
182,Paraguay,0
183,Panama,0
184,Portugal,0
185,Guinea-Bissau,0
186,Puerto Rico,0
187,Saint Pierre and Miquelon,0
188,Saint Kitts and Nevis,0
189,Seychelles,0
190,Senegal,0
191,"Saint Helena, Ascension, and Tristan da Cunha",0
192,Slovenia,0
193,Sierra Leone,0
194,Singapore,0
195,Saint Lucia,0
196,Sweden,0
197,Switzerland,0
198,Turks and Caicos Islands,0
199,Tonga,0
200,Togo,0
201,Sao Tome and Principe,0
202,Burkina Faso,0
203,Uruguay,0
204,Saint Vincent and the Grenadines,0
205,British Virgin Islands,0
206,Virgin Islands,0
207,West Bank,0
208,Western Sahara,0
209,Samoa,0
210,Swaziland,0
211,Zambia,0
212,Zimbabwe,0
