Pos,Name,Value
1,European Union,$6736000000000
2,China,$5846000000000
3,Japan,$5403000000000
4,United States,$2943000000000
5,Germany,$2236000000000
6,Italy,$1185000000000
7,France,$979700000000
8,Spain,$876900000000
9,Canada,$661500000000
10,Switzerland,$567700000000
11,"Korea, South",$539700000000
12,Taiwan,$483200000000
13,Netherlands,$387000000000
14,India,$364000000000
15,Venezuela,$356000000000
16,Saudi Arabia,$301100000000
17,Australia,$269900000000
18,Sweden,$256900000000
19,Austria,$222600000000
20,Mexico,$215100000000
21,Luxembourg,$209600000000
22,Hong Kong,$204800000000
23,Belgium,$202400000000
24,Poland,$181700000000
25,Brazil,$160400000000
26,Russia,$158600000000
27,Denmark,$155600000000
28,Ireland,$146200000000
29,Norway,$146100000000
30,Finland,$136700000000
31,Singapore,$136100000000
32,Czech Republic,$126800000000
33,United Arab Emirates,$126100000000
34,Greece,$124300000000
35,Turkey,$118300000000
36,Algeria,$115200000000
37,United Kingdom,$114200000000
38,Malaysia,$113100000000
39,South Africa,$112200000000
40,Portugal,$91400000000
41,Indonesia,$78700000000
42,Morocco,$77750000000
43,Pakistan,$76420000000
44,Iraq,$66170000000
45,Egypt,$60180000000
46,Philippines,$55730000000
47,Argentina,$54130000000
48,Thailand,$53710000000
49,Vietnam,$52390000000
50,Libya,$49210000000
51,Colombia,$47310000000
52,Israel,$45460000000
53,Nigeria,$45440000000
54,Zimbabwe,$43430000000
55,Hungary,$41160000000
56,Slovakia,$40590000000
57,Chile,$40100000000
58,Ukraine,$33970000000
59,Peru,$33710000000
60,New Zealand,$33650000000
61,Qatar,$32590000000
62,Kuwait,$32420000000
63,Romania,$30090000000
64,Angola,$29550000000
65,Iran,$26390000000
66,Bulgaria,$20850000000
67,Kazakhstan,$20400000000
68,Bangladesh,$19690000000
69,Azerbaijan,$18010000000
70,Lithuania,$15920000000
71,Burma,$15190000000
72,Jordan,$13520000000
73,Tunisia,$13220000000
74,Slovenia,$12080000000
75,Ethiopia,$11310000000
76,Kenya,$11300000000
77,Oman,$11180000000
78,Croatia,$10860000000
79,Ecuador,$10810000000
80,Estonia,$10800000000
81,Latvia,$10150000000
82,Guatemala,$8905000000
83,Sudan,$8459000000
84,Bolivia,$8362000000
85,Cote d'Ivoire,$8227000000
86,Bahrain,$7996000000
87,Uzbekistan,$7605000000
88,Macau,$7170000000
89,Trinidad and Tobago,$7095000000
90,Syria,$7001000000
91,Panama,$6887000000
92,Afghanistan,$6121000000
93,Yemen,$5845000000
94,Dominican Republic,$5621000000
95,Malta,$5574000000
96,Papua New Guinea,$5388000000
97,Mozambique,$5267000000
98,Uruguay,$5201000000
99,Lebanon,$5120000000
100,Ghana,$5119000000
101,Paraguay,$4899000000
102,Tanzania,$4799000000
103,Costa Rica,$4700000000
104,Bosnia and Herzegovina,$4663000000
105,Cyprus,$4554000000
106,Serbia,$4483000000
107,Iceland,$4310000000
108,Senegal,$4086000000
109,Sri Lanka,$4037000000
110,"Congo, Republic of the",$3894000000
111,Namibia,$3867000000
112,Cameroon,$3861000000
113,Nepal,$3808000000
114,Belarus,$3753000000
115,Brunei,$3531000000
116,Equatorial Guinea,$3363000000
117,El Salvador,$3057000000
118,Gabon,$2983000000
119,Albania,$2895000000
120,Mali,$2833000000
121,Mauritius,$2666000000
122,Georgia,$2632000000
123,Benin,$2509000000
124,Zambia,$2466000000
125,Uganda,$2451000000
126,Moldova,$2102000000
127,Burkina Faso,$2013000000
128,Honduras,$2006000000
129,Jamaica,$1994000000
130,Eritrea,$1991000000
131,Fiji,$1931000000
132,Guinea,$1916000000
133,South Sudan,$1873000000
134,Barbados,$1848000000
135,Chad,$1746000000
136,"Bahamas, The",$1659000000
137,Laos,$1629000000
138,Madagascar,$1611000000
139,Tajikistan,$1598000000
140,Macedonia,$1568000000
141,Kyrgyzstan,$1563000000
142,Niger,$1534000000
143,Botswana,$1465000000
144,Armenia,$1378000000
145,Cambodia,$1354000000
146,Turkmenistan,$1255000000
147,"Congo, Democratic Republic of the",$1231000000
148,Mongolia,$1184000000
149,Haiti,$1125000000
150,Togo,$1105000000
151,Djibouti,$1011000000
152,Aruba,$957900000
153,Cuba,$924800000
154,Nicaragua,$919600000
155,Rwanda,$833000000
156,Montenegro,$749000000
157,Bhutan,$636000000
158,Maldives,$623000000
159,Guyana,$603400000
160,Belize,$583500000
161,Cabo Verde,$579400000
162,Malawi,$578500000
163,Liberia,$512000000
164,Swaziland,$453500000
165,Sierra Leone,$448300000
166,Seychelles,$435100000
167,Lesotho,$425900000
168,Solomon Islands,$404900000
169,Burundi,$394900000
170,Guinea-Bissau,$384800000
171,Cayman Islands,$334300000
172,Vanuatu,$283700000
173,West Bank,$269200000
174,Saint Lucia,$257300000
175,Timor-Leste,$241400000
176,Antigua and Barbuda,$233900000
177,"Gambia, The",$217500000
178,Saint Kitts and Nevis,$212300000
179,Central African Republic,$196600000
180,Comoros,$171900000
181,Saint Vincent and the Grenadines,$151700000
182,Grenada,$148900000
183,Samoa,$106900000
184,Tonga,$100800000
185,Dominica,$88000000
186,Sao Tome and Principe,$67450000
187,Cook Islands,$38990000
188,Montserrat,$21760000
189,Anguilla,$16700000
190,Suriname,$1484000
