Pos,Name,Value
1,United States,18560000
2,European Union,11620000
3,China,9648000
4,Russia,4812000
5,India,4433000
6,Japan,3645000
7,"Korea, South",2790000
8,Germany,2206000
9,Brazil,2108000
10,Saudi Arabia,1935000
11,Canada,1927000
12,Iran,1718000
13,Italy,1692000
14,Mexico,1361000
15,Singapore,1357000
16,United Kingdom,1343000
17,France,1321000
18,Spain,1261000
19,Netherlands,1221000
20,Venezuela,1110000
21,Indonesia,935300
22,Taiwan,920200
23,Kuwait,915900
24,Thailand,913600
25,Belgium,715300
26,Australia,659700
27,Argentina,622200
28,Algeria,571400
29,Malaysia,568800
30,Poland,553700
31,Greece,498000
32,Iraq,492800
33,Turkey,486100
34,Egypt,445000
35,South Africa,437600
36,Sweden,434400
37,Virgin Islands,423900
38,Libya,388300
39,United Arab Emirates,371500
40,Belarus,346000
41,Norway,328700
42,Colombia,313100
43,Finland,290500
44,Kazakhstan,288600
45,Qatar,287500
46,Israel,275600
47,Bahrain,270800
48,Ukraine,262300
49,Syria,253600
50,Portugal,239900
51,Aruba,234200
52,Romania,218700
53,Pakistan,210100
54,Ecuador,207300
55,Chile,198000
56,Lithuania,197400
57,Austria,191900
58,Philippines,181300
59,Hungary,166900
60,Czech Republic,166300
61,Oman,164600
62,Peru,159500
63,Denmark,155700
64,Turkmenistan,143200
65,Azerbaijan,133500
66,Trinidad and Tobago,132300
67,Morocco,131500
68,Bulgaria,128500
69,Slovakia,126800
70,Sudan,124900
71,New Zealand,117600
72,Vietnam,112000
73,Nigeria,101300
74,Cuba,100600
75,Uzbekistan,92300
76,Yemen,86330
77,Switzerland,73160
78,Serbia,65720
79,Croatia,65410
80,Ireland,61650
81,Jordan,57790
82,Cote d'Ivoire,55890
83,Cameroon,43500
84,Uruguay,43440
85,Bolivia,40000
86,Angola,38760
87,Sri Lanka,35440
88,Kenya,32240
89,Dominican Republic,28050
90,Jamaica,23120
91,Bangladesh,22710
92,Bosnia and Herzegovina,22430
93,Ghana,22130
94,Gabon,19280
95,Burma,18920
96,Papua New Guinea,17330
97,Macedonia,17030
98,El Salvador,16620
99,Nicaragua,15870
100,Senegal,15100
101,"Congo, Republic of the",13820
102,Brunei,13500
103,Zambia,12900
104,Tunisia,11170
105,Costa Rica,10630
106,Suriname,7462
107,"Korea, North",6965
108,Albania,3121
109,Equatorial Guinea,3074
110,Guatemala,1253
111,Mozambique,992
112,Curacao,531
113,Tajikistan,400
114,Moldova,321
115,Barbados,31
116,Antigua and Barbuda,0
117,Afghanistan,0
118,Armenia,0
119,American Samoa,0
120,Botswana,0
121,Bermuda,0
122,"Bahamas, The",0
123,Belize,0
124,Benin,0
125,Solomon Islands,0
126,Bhutan,0
127,Burundi,0
128,Cambodia,0
129,Chad,0
130,"Congo, Democratic Republic of the",0
131,Cayman Islands,0
132,Comoros,0
133,Central African Republic,0
134,Cabo Verde,0
135,Cook Islands,0
136,Cyprus,0
137,Djibouti,0
138,Dominica,0
139,Estonia,0
140,Eritrea,0
141,Ethiopia,0
142,Fiji,0
143,Falkland Islands (Islas Malvinas),0
144,Faroe Islands,0
145,French Polynesia,0
146,"Gambia, The",0
147,Georgia,0
148,Gibraltar,0
149,Grenada,0
150,Greenland,0
151,Guam,0
152,Guinea,0
153,Guyana,0
154,Haiti,0
155,Hong Kong,0
156,Honduras,0
157,Iceland,0
158,Kyrgyzstan,0
159,Kiribati,0
160,Kosovo,0
161,Laos,0
162,Lebanon,0
163,Latvia,0
164,Liberia,0
165,Lesotho,0
166,Luxembourg,0
167,Madagascar,0
168,Macau,0
169,Mongolia,0
170,Montserrat,0
171,Malawi,0
172,Montenegro,0
173,Mali,0
174,Mauritius,0
175,Mauritania,0
176,Malta,0
177,Maldives,0
178,New Caledonia,0
179,Niue,0
180,Niger,0
181,Vanuatu,0
182,Nepal,0
183,Nauru,0
184,Paraguay,0
185,Panama,0
186,Guinea-Bissau,0
187,Puerto Rico,0
188,Rwanda,0
189,Saint Pierre and Miquelon,0
190,Saint Kitts and Nevis,0
191,Seychelles,0
192,"Saint Helena, Ascension, and Tristan da Cunha",0
193,Slovenia,0
194,Sierra Leone,0
195,Somalia,0
196,Saint Lucia,0
197,Turks and Caicos Islands,0
198,Tonga,0
199,Togo,0
200,Sao Tome and Principe,0
201,Timor-Leste,0
202,Tanzania,0
203,Uganda,0
204,Burkina Faso,0
205,Saint Vincent and the Grenadines,0
206,British Virgin Islands,0
207,Namibia,0
208,West Bank,0
209,Western Sahara,0
210,Samoa,0
211,Swaziland,0
212,Zimbabwe,0
