Pos,Name,Value
1,South Sudan,10.32
2,Iraq,8.70
3,Oman,8.61
4,Saudi Arabia,7.98
5,Israel,5.69
6,Azerbaijan,4.70
7,Jordan,4.65
8,Algeria,4.48
9,United States,4.35
10,Armenia,4.10
11,Lebanon,4.04
12,Yemen,4.02
13,Angola,3.63
14,Morocco,3.55
15,Singapore,3.52
16,Russia,3.49
17,Colombia,3.28
18,Swaziland,3.17
19,Bahrain,3.14
20,Namibia,3.11
21,Pakistan,3.04
22,Zimbabwe,2.94
23,Timor-Leste,2.92
24,Ecuador,2.83
25,"Korea, South",2.80
26,Ukraine,2.77
27,Georgia,2.70
28,United Kingdom,2.49
29,Sri Lanka,2.43
30,Brunei,2.43
31,India,2.40
32,Burundi,2.39
33,Vietnam,2.37
34,Botswana,2.31
35,Turkey,2.31
36,Serbia,2.21
37,Cyprus,2.05
38,Chile,2.04
39,Estonia,2.00
40,China,1.99
41,Kenya,1.96
42,Uruguay,1.95
43,Lesotho,1.94
44,Poland,1.91
45,Guinea-Bissau,1.85
46,Montenegro,1.81
47,France,1.80
48,Greece,1.72
49,"Congo, Democratic Republic of the",1.72
50,Australia,1.71
51,Croatia,1.70
52,Italy,1.69
53,Egypt,1.67
54,Paraguay,1.66
55,Cote d'Ivoire,1.65
56,European Union,1.65
57,Tunisia,1.55
58,Malaysia,1.55
59,Zambia,1.55
60,Cambodia,1.54
61,Fiji,1.47
62,Finland,1.47
63,Thailand,1.47
64,Bolivia,1.47
65,Brazil,1.47
66,Bulgaria,1.46
67,Uganda,1.45
68,Mali,1.44
69,Romania,1.42
70,Cameroon,1.42
71,Denmark,1.41
72,Norway,1.40
73,Burkina Faso,1.39
74,Germany,1.35
75,Bosnia and Herzegovina,1.35
76,Gabon,1.34
77,Portugal,1.29
78,Peru,1.28
79,Netherlands,1.27
80,Canada,1.24
81,Kazakhstan,1.21
82,Belarus,1.20
83,Philippines,1.19
84,Sweden,1.18
85,Slovenia,1.18
86,Bangladesh,1.15
87,New Zealand,1.13
88,Tanzania,1.13
89,Slovakia,1.12
90,Mongolia,1.12
91,Rwanda,1.12
92,Macedonia,1.12
93,Guyana,1.09
94,Czech Republic,1.08
95,Niger,1.06
96,Honduras,1.05
97,Belgium,1.05
98,Venezuela,1.05
99,Benin,1.03
100,South Africa,1.00
101,El Salvador,0.99
102,Japan,0.97
103,Lithuania,0.97
104,Malawi,0.93
105,Latvia,0.92
106,Argentina,0.91
107,Ethiopia,0.91
108,Nigeria,0.89
109,Seychelles,0.89
110,Spain,0.86
111,Jamaica,0.86
112,Albania,0.85
113,Hungary,0.83
114,Liberia,0.82
115,Austria,0.81
116,Indonesia,0.78
117,Switzerland,0.76
118,Sierra Leone,0.72
119,Madagascar,0.69
120,Nicaragua,0.63
121,Dominican Republic,0.61
122,Malta,0.61
123,Luxembourg,0.60
124,Mexico,0.59
125,Ghana,0.56
126,Ireland,0.55
127,Papua New Guinea,0.54
128,Moldova,0.50
129,Guatemala,0.42
130,Mauritius,0.19
131,Iceland,0.13
132,Kuwait,0.00
